Part Number,Description,Resistor,dimention,Power (1/XXW),Nominal Value ohms,Tolerance
A31SD034150A80,S RES 1/16W 15 +-1% 0402,1,402,16,15,0.01
A31SD034154180,S RES 1/16W 1.54K +-1% 0402,1,402,16,1540,0.01
A31SD034165180,S RES 1/16W 1.65K +-1% 0402,1,402,16,1650,0.01
A31SD034182280,S RES 1/16W 18.2K +-1% 0402,1,402,16,18200,0.01
A31SD034200080,S RES 1/16W 200 +-1% 0402,1,402,16,200,0.01
A31SD034200280,S RES 1/16W 20K +-1% 0402,1,402,16,20000,0.01
A31SD034200380,S RES 1/16W 200K +-1% 0402,1,402,16,200000,0.01
A31SD034205280,S RES 1/16W 20.5K +-1% 0402,1,402,16,20500,0.01
A31SD034215280,S RES 1/16W 21.5K +-1% 0402,1,402,16,21500,0.01
A31SD034300280,S RES 1/16W 30K +-1% 0402,1,402,16,30000,0.01
A31SD034316280,S RES 1/16W 31.6K +-1% 0402,1,402,16,31600,0.01
A31SD034475180,S RES 1/16W 4.75K +-1% 0402,1,402,16,4750,0.01
A31SD034715280,S RES 1/16W 71.5K +-1% 0402,1,402,16,71500,0.01
A31SD041100180,S RES 1/20W 1K +-1% 0201,1,201,20,1000,0.01
A31SD041100280,S RES 1/20W 10K +-1% 0201,1,201,20,10000,0.01
A31SD041100480,S RES 1/20W 1M +-1% 0201,1,201,20,1000000,0.01
A31SD041100A80,S RES 1/20W 10 +-1% 0201,1,201,20,10,0.01
A31SD043100080,S RES 1/20W 100 +-5% 0201,1,201,20,100,0.05
A31SD043100180,S RES 1/20W 1K +-5% 0201,1,201,20,1000,0.05
A31SD043100280,S RES 1/20W 10K +-5% 0201,1,201,20,10000,0.05
A31SD043100380,S RES 1/20W 100K +-5% 0201,1,201,20,100000,0.05
A31SD043100480,S RES 1/20W 1M +-5% 0201,1,201,20,1000000,0.05
A31SD043200280,S RES 1/20W 20K +-5% 0201,1,201,20,20000,0.05
A31SD300001P00,S ROW RES 1/16W 15 +-5% 8P4R 0804,1,804,16,15,0.05
A31SD300002V00,S ROW RES 1/16W 1K +-1% 8P4R 0804,1,804,16,1000,0.01
A31SD309100080,S ROW RES 1/16W 100 +-5% 8P4R 0804,1,804,16,100,0.05
A31SD309100280,S ROW RES 1/16W 10K +-5% 8P4R 0804,1,804,16,10000,0.05
A31SD309100380,S ROW RES 1/16W 100K +-5% 8P4R 0804,1,804,16,100000,0.05
A31SD309510A10,S ROW RES 1/16W 51 +-5% 8P4R 0804,1,804,16,51,0.05
A63.10031.16L,CHIP RES 10 J 1/8W 0805(ROHS),1,805,8,10,0.05
A63.10234.L0L,CHIP RES 1K J 1/16W 0402 13 REEL,1,402,16,1000,0.05
A63.10334.L0L,CHIP RES 10K J 1/16W 0402 13 REEL,1,402,16,10000,0.05
A63.10433.15L,CHIP RES 100K J 1/10W 0603(ROH,1,603,10,100000,0.05
A63.10434.L0L,CHIP RES 100K J 1/16W 0402(FOR YAMA),1,402,16,100000,0.05
A63.10434.L1L,CHIP RES 100K J 1/16W 0402 13 REEL,1,402,16,100000,0.05
A63.10534.L1L,CHIP RES 1M J 1/16W 0402 13 REEL,1,402,16,1000000,0.05
A63.10634.1DL,CHIP RES 10M J 1/16W 0402,1,402,16,10000000,0.05
A63.12434.L0L,CHIP RES 120K J 1/16W 0402,1,402,16,120000,0.05
A63.15134.1DL,CHIP RES 150 J 1/16W 0402,1,402,16,150,0.05
A63.22034.L0L,CHIP RES 22 J 1/16W 0402 13 REEL,1,402,16,22,0.05
A63.22134.1DL,CHIP RES 220 J 1/16W 0402,1,402,16,220,0.05
A63.22234.L0L,CHIP RES 2.2K J 1/16W 0402 13 REEL,1,402,16,2200,0.05
A63.33534.1DL,CHIP RES 3.3M J 1/16W 0402,1,402,16,3300000,0.05
A63.47234.L0L,CHIP RES 4.7K J 1/16W 0402 13 REEL,1,402,16,4700,0.05
A63.R0034.L0L,CHIP RES 0 J 1/16W 0402 13 REEL,1,402,16,0,0.05
A64.10005.L1L,CHIP RES 100 F 1/16W 0402 13 REEL,1,402,16,100,0.01
A64.10015.L3L,CHIP RES 1K F 1/16W 0402 13 REEL,1,402,16,1000,0.01
A64.10025.L0L,CHIP RES 10K F 1/16W 0402 13 REEL,1,402,16,10000,0.01
A64.10035.L3L,CHIP RES 100K F 1/16W 0402 13 REEL,1,402,16,100000,0.01
A64.10045.L1L,CHIP RES 1M F 1/16W 0402,1,402,16,1000000,0.01
A64.10225.6DL,CHIP RES 10.2K F 1/16W 0402,1,402,16,10200,0.01
A64.10725.6DL,CHIP RES 10.7K F 1/16W 0402,1,402,16,10700,0.01
A64.10R05.L1L,CHIP RES 10 F 1/16W 0402 13 REEL,1,402,16,10,0.01
A64.10R05.L2L,CHIP RES 10 F 1/10W 0603 13 REEL,1,603,10,10,0.01
A64.11035.L0L,CHIP RES 110K F 1/16W 0402,1,402,16,110000,0.01
A64.11305.6DL,CHIP RES 113 F 1/16W 0402,1,402,16,113,0.01
A64.12025.6DL,CHIP RES 12K F 1/16W 0402,1,402,16,12000,0.01
A64.12725.6DL,CHIP RES 12.7K F 1/16W 0402,1,402,16,12700,0.01
A64.13005.6DL,CHIP RES 130 F 1/16W 0402,1,402,16,130,0.01
A64.14305.6DL,CHIP RES 143 F 1/16W 0402,1,402,16,143,0.01
A64.15015.6DL,CHIP RES 1.5K F 1/16W 0402,1,402,16,1500,0.01
A64.16025.6DL,CHIP RES 16K F 1/16W 0402,1,402,16,16000,0.01
A64.17835.6DL,CHIP RES 178K F 1/16W 0402,1,402,16,178000,0.01
A64.18015.6DL,CHIP RES 1.8K F 1/16W 0402,1,402,16,1800,0.01
A64.18035.L0L,CHIP RES 180K F 1/16W 0402,1,402,16,180000,0.01
A64.18705.6DL,CHIP RES 187 F 1/16W 0402,1,402,16,187000,0.01
A64.19105.6DL,CHIP RES 191 F 1/16W 0402,1,402,16,191,0.01
A64.1R005.6DL,CHIP RES 1 F 1/16W 0402,1,402,16,1,0.01
A64.20005.6DL,CHIP RES 200 F 1/16W 0402,1,402,16,200,0.01
A64.20015.L0L,CHIP RES 2K F 1/16W 0402 13 REEL,1,402,16,2000,0.01
A64.20025.L0L,CHIP RES 20K F 1/16W 0402 13 REEL,1,402,16,20000,0.01
A64.20035.55L,CHIP RES 200K F 1/10W 0603,1,603,10,200000,0.01
A64.20035.L0L,CHIP RES 200K F 1/16W 0402,1,402,16,200000,0.01
A64.21025.55L,CHIP RES 21K F 1/10W 0603,1,603,10,21000,0.01
A64.21525.6DL,CHIP RES 21.5K F 1/16W 0402,1,402,16,21500,0.01
A64.22035.6DL,CHIP RES 220K F 1/16W 0402,1,402,16,220000,0.01
A64.23235.L0L,CHIP RES 232K F 1/16W 0402,1,402,16,232000,0.01
A64.24005.6DL,CHIP RES 240 F 1/16W 0402(ROHS,1,402,16,240,0.01
A64.24025.6DL,CHIP RES 24K F 1/16W 0402,1,402,16,24000,0.01
A64.24R95.6DL,CHIP RES 24.9 F 1/16W 0402,1,402,16,24900,0.01
A64.27015.6DL,CHIP RES 2.7K F 1/16W 0402,1,402,16,2700,0.01
A64.27425.6DL,CHIP RES 27.4K F 1/16W 0402,1,402,16,27400,0.01
A64.28025.6DL,CHIP RES 28K F 1/16W 0402,1,402,16,28000,0.01
A64.28725.6DL,CHIP RES 28.7K F 1/16W 0402,1,402,16,28700,0.01
A64.2R205.6DL,CHIP RES 2.2 F 1/16W 0402,1,402,16,2.2,0.01
A64.2R205.L0L,CHIP RES 2.2 F 1/10W 0603 13 REEL,1,603,10,2.2,0.01
A64.2R705.6DL,CHIP RES 2.7 F 1/16W 0402,1,402,16,2.7,0.01
A64.30025.6DL,CHIP RES 30K F 1/16W 0402,1,402,16,30000,0.01
A64.31625.6DL,CHIP RES 31.6K F 1/16W 0402,1,402,16,31600,0.01
A64.33015.6DL,CHIP RES 3.3K F 1/16W 0402,1,402,16,3300,0.01
A64.34015.6DL,CHIP RES 3.4K F 1/16W 0402,1,402,16,3400,0.01
A64.51035.6DL,CHIP RES 510K F 1/16W 0402,1,402,16,510000,0.01
A64.51R05.55L,CHIP RES 51 F 1/10W 0603,1,603,10,51,0.01
A64.71525.6DL,CHIP RES 71.5K F 1/16W 0402,1,402,16,71500,0.01
A64.82015.6DL,CHIP RES 8.2K F 1/16W 0402,1,402,16,8200,0.01
A64.84515.6DL,CHIP RES 8.45K F 1/16W 0402,1,402,16,8450,0.01
A64.R0005.55L,CHIP RES 0 F 1/10W 0603,1,603,10,0,0.01
A64.R0105.7FL,CHIP RES 0.01 F 1W 3720,1,3720,0,0.01,0.01
A64.R0205.7FL,CHIP RES 0.02 F 1W 3720,1,3720,1,0.02,0.01
CJ3100A8N39,RES ARRAY CHIP 10K 1/32W(+-5%/10P8R),1,0,32,10000,0.05
CS+0108DP01,RES CHIP 0.01 1W +-0.5%(0612)C-S,1,612,1,0.01,0.05
CS+0108F200,RESISTOR CHIP 0.01 1W +-1%(1206),1,1206,1,0.01,0.01
CS+0108FP01,RES CHIP 0.01 1W +-1%(0612),1,612,1,0.01,0.01
CS+0208DP05,RES CHIP 0.02 1W +-0.5%(0612)C-S,1,612,1,0.02,0.05
CS+0208FP04,RES CHIP 0.020 1W +-1%(0612),1,612,1,0.02,0.01
CS01001FE00,RES CHIP 10 1/20W +-1%(0201),1,201,20,10,0.01
CS01002JB22,RES CHIP 10 1/16W +-5%(0402),1,402,16,10,0.05
CS01003F935,RES CHIP 10 1/10W +-1%(0603),1,603,10,10,0.01
CS01003J953,RESISTOR CHIP 10 1/10W +-5%(0603) EP,1,603,10,10,0.05
CS01006J216,RES CHIP 10 1/4W +-5%(1206),1,1206,4,10,0.05
CS02001FE00,RES CHIP 20 1/20W +-1%(0201),1,201,20,20,0.01
CS02006J201,RES CHIP 20 1/4W +-5% (1206),1,1206,4,20,0.05
CS05101FE13,RES CHIP 51(1/20W/+-1%/0201),1,201,20,51,0.01
CS05102FB09,RES CHIP 51 1/16W +-1% (0402),1,402,16,51,0.01
CS05102JB35,RES CHIP 51 1/16W +-5%(0402),1,402,16,51,0.05
CS-1001JE00,RES CHIP 1 1/20W +-5%(0201),1,201,20,1,0.05
CS-1002FB23,RES CHIP 1 1/16W +-1%(0402),1,402,16,1,0.01
CS11001FE00,RES CHIP 100 1/20W +-1%(0201),1,201,20,100,0.01
CS11002FB22,RES CHIP 100 1/16W +-1%(0402),1,402,16,100,0.01
CS11202FB11,RES CHIP 120 1/16W +-1%(0402),1,402,16,120,0.01
CS11242FB10,RES CHIP 124 1/16W +-1%(0402),1,402,16,124,0.01
CS11501FE01,RES CHIP 150 1/20W +-1%(0201),1,201,20,150,0.01
CS11502FB21,RES CHIP 150 1/16W +-1%(0402),1,402,16,150,0.01
CS12001FE01,RES CHIP 200 1/20W +-1%(0201),1,201,20,200,0.01
CS12002FB25,RES CHIP 200 1/16W +-1%(0402),1,402,16,200,0.01
CS21001FE04,RES CHIP 1K 1/20W +-1%(0201),1,201,20,1000,0.01
CS21002FB24,RES CHIP 1K 1/16W +-1% (0402),1,402,16,1000,0.01
CS21002JB34,RES CHIP 1K 1/16W 5%(0402),1,402,16,1000,0.05
CS21332FB11,RES CHIP 1.33K 1/16W +-1%( 0402)EP,1,402,16,1330,0.01
CS21501JE04,RES CHIP 1.5K(1/20W/+-5%/0201),1,201,20,1500,0.05
CS21692FB01,RES CHIP 1.69K 1/16W +-1%(0402),1,402,16,1690,0.01
CS24701FE00,RES CHIP 4.7K 1/20W +-1%(0201),1,201,20,4700,0.01
CS24701JE00,RES CHIP 4.7K(1/20W/+-5%/0201),1,201,20,4700,0.05
CS24702FB10,RES CHIP 4.7K 1/16W +-1%(0402),1,402,16,4700,0.01
CS24702JB38,RES CHIP 4.7K 1/16W +-5% (0402),1,402,16,4700,0.05
CS24752FB12,RES CHIP 4.75K 1/16W +-1%(0402),1,402,16,4750,0.01
CS28202JB14,RES CHIP 8.2K 1/16W +-5% (0402),1,402,16,8200,0.05
CS28452FB12,RES CHIP 8.45K 1/16W +-1%( 0402),1,402,16,8450,0.01
CS31001JE16,RES CHIP 10K 1/20W +-5%(0201),1,201,20,10000,0.05
CS31002FB26,RES CHIP 10K 1/16W +-1% (0402),1,402,16,10000,0.01
CS31002JB28,RES CHIP 10K 1/16W 5%(0402),1,402,16,10000,0.05
CS31242FB13,RES CHIP 12.4K 1/16W +-1% (0402),1,402,16,12400,0.01
CS32001FE00,RES CHIP 20K 1/20W +-1%(0201),1,201,20,20000,0.01
CS32002FB29,RES CHIP 20K 1/16W +-1%(0402),1,402,16,20000,0.01
CS32002JB12,RES CHIP 20K 1/16W +-5% (0402),1,402,16,20000,0.05
CS32152FB17,RES CHIP 21.5K 1/16W +-1%(0402),1,402,16,21500,0.01
CS33002FB13,RES CHIP 30K 1/16W +-1%(0402),1,402,16,30000,0.01
CS35111FE05,RES CHIP 51.1K 1/20W +-1%(0201),1,201,20,51100,0.01
CS41001FE08,RES CHIP 100K(1/20W/+-1%/0201),1,201,20,100000,0.01
CS41001JE00,RES CHIP 100K(1/20W/+-5%/0201),1,201,20,100000,0.05
CS41002FB28,RES CHIP 100K 1/16W +-1% (0402),1,402,16,100000,0.01
CS41002JB20,RES CHIP 100K 1/16W 5%(0402),1,402,16,100000,0.05
CS41003F932,RESISTOR CHIP 100K 1/10W+-1%(0603),1,603,10,100000,0.01
CS41202FB17,RES CHIP 120K 1/16W +-1%( 0402),1,402,16,120000,0.01
CS41272FB19,RES CHIP 127K 1/16W +-1%(0402),1,402,16,127,0.01
CS41502FB18,RES CHIP 150K 1/16W +-1%(0402),1,402,16,150000,0.01
CS42001FE00,RES CHIP 200K 1/20W +-1%(0201),1,201,20,200000,0.01
CS42002FB12,RES CHIP 200K 1/16W+-1%(0402),1,402,16,200000,0.01
CS42202FB10,RES CHIP 220K 1/16W +-1%(0402),1,402,16,220000,0.01
CS-4702FB19,RES CHIP 4.7 1/16W +-1%(0402),1,402,16,4.7,0.01
CS51001FE00,RES CHIP 1M 1/20W +-1%(0201),1,201,20,1000000,0.01
CS51002FB11,RES CHIP 1M 1/16W +-1% (0402),1,402,16,1000000,0.01
CS51002JB21,RES CHIP 1M 1/16W +-5% (0402),1,402,16,1000000,0.05
CS51003J936,RESISTOR CHIP 1M 1/10W +-5% (1608),1,1608,10,1000000,0.05
CS52001FE00,RES CHIP 2M 1/20W +-1%(0201),1,201,20,2000000,0.01
CS52002FB06,RES CHIP 2M 1/16W +-1%(0402),1,402,16,2000000,0.01
CS61001FE00,RES CHIP 10M 1/20W +-1%(0201),1,201,20,10000000,0.01
CS61002JB23,RES CHIP 10M 1/16W +-5% (0402),1,402,16,10000000,0.05
CS62002JB18,RES CHIP 20M 1/16W +-5%(0402),1,402,16,20000000,0.05
HQ11600070001,RESISTANCE_220R_0201_1/20 W_J,1,201,20,220,0.05
HQ11600100001,RESISTANCE_4.7K_0201_1/20 W_J,1,201,20,4700,0.05
HQ11600190001,RESISTANCE_100K_0201_1/20 W_J,1,201,20,100000,0.05
HQ11600220001,RESISTANCE_1M_0201_1/20 W_J,1,201,20,1000000,0.05
HQ11600230001,RESISTANCE_220K_0201_1/20 W_J,1,201,20,220000,0.05
HQ11600246000,RESISTANCE_200K_0201_1/20 W_J(ñ5%),1,201,20,200000,0.05
HQ11600433000,RESISTANCE_10M_0201_1/20 W_J(ñ5%),1,201,20,10000000,0.05
HQ11600483000,RESISTANCE_2M_0201_1/20W_F(ñ1%),1,201,20,2000000,0.01
HQ11610102000,RESISTANCE_4.7K_0402_1/16W_F(ñ1%),1,402,16,4700,0.01
HQ11630151000,RESISTANCE_4.7R_0805_1/4W_F(ñ1%),1,805,4,4.7,0.01
HQ11650007000,SMD RESISTOR ARRAY/ RESISTOR NETWORK_10K_0402_F,1,402,0,10000,0.01
SD000000680,S RES 1/16W 8.45K +-1% 0402,1,402,16,8450,0.01
SD000004100,S RES 1/16W 8.2K +-1% 0402,1,402,16,8200,0.01
SD000006T80,S RES 1/10W 4.7 +-1% 0603,1,603,10,4.7,0.01
SD00000AJ80,S RES 1/16W 12.4K +-1% 0402,1,402,16,12400,0.01
SD00000DS80,S RES 1/4W 10 +-1% 1206,1,1206,4,10,0.01
SD00000FU80,S RES 1/16W 120 +-1% 0402,1,402,16,120,0.01
SD00000I100,S RES 1/16W 1 +-1% 0402,1,402,16,1,0.01
SD00000JB80,S RES 1/16W 1.69K +-1% 0402,1,402,16,1690,0.01
SD00000K820,S RES 1W 0.01 +-1% 1206 100PPM/C,1,1206,1,0.01,0.01
SD00000RF00,S RES 1/16W 1.33K +-1% 0402,1,402,16,1330,0.01
SD00000RK80,S RES 1/16W 510K +-1% 0402,1,402,16,510000,0.01
SD00000S120,S RES 1W 0.02 +-1% 1206 100PPM/C,1,1206,1,0.02,0.01
SD00000YG80,S RES 1/20W 220K +-1% 0201,1,201,20,220000,0.01
SD000017R00,S RES 1W 0.005 +-1% 1206 100PPM/C,1,1206,1,0.005,0.01
SD00001VZ00,S RES 1/2W 0.0002 +-5% 0805 3800PPM/C,1,805,2,0.0002,0.05
SD001470B80,S RES 1/4W 4.7 +-5% 1206,1,1206,4,4.7,0.05
SD008100B80,S RES 1/8W 1 +-1% 0805,1,805,8,1,0.01
SD011100A80,S RES 1/4W 10 +-5% 1206,1,1206,4,10,0.05
SD012220B80,S RES 1/4W 2.2 +-1% 1206,1,1206,4,2.2,0.01
SD013100A80,S RES 1/10W 10 +-5% 0603,1,603,10,10,0.05
SD013100B80,S RES 1/10W 1 +-5% 0603,1,603,10,1,0.05
SD013470B80,S RES 1/10W 4.7 +-5% 0603,1,603,10,4.7,0.05
SD014100180,S RES 1/10W 1K +-1% 0603,1,603,10,1000,0.01
SD014100380,S RES 1/10W 100K +-1% 0603,1,603,10,100000,0.01
SD014100A80,S RES 1/10W 10 +-1% 0603,1,603,10,10,0.01
SD014412180,S RES 1/10W 4.12K +-1% 0603,1,603,10,4120,0.01
SD028100080,S RES 1/16W 100 +-5% 0402,1,402,16,100,0.05
SD028100180,S RES 1/16W 1K +-5% 0402,1,402,16,1000,0.05
SD028100280,S RES 1/16W 10K +-5% 0402,1,402,16,10000,0.05
SD028100380,S RES 1/16W 100K +-5% 0402,1,402,16,100000,0.05
SD028100480,S RES 1/16W 1M +-5% 0402,1,402,16,1000000,0.05
SD028100580,S RES 1/16W 10M +-5% 0402,1,402,16,10000000,0.05
SD028100A80,S RES 1/16W 10 +-5% 0402,1,402,16,10,0.05
SD028100B80,S RES 1/16W 1 +-5% 0402,1,402,16,1,0.05
SD028120280,S RES 1/16W 12K +-5% 0402,1,402,16,12000,0.05
SD028150380,S RES 1/16W 150K +-5% 0402,1,402,16,150000,0.05
SD028150A80,S RES 1/16W 15 +-5% 0402,1,402,16,15,0.05
SD028200080,S RES 1/16W 200 +-5% 0402,1,402,16,200,0.05
SD028200280,S RES 1/16W 20K +-5% 0402,1,402,16,20000,0.05
SD028200580,S RES 1/16W 20M +-5% 0402,1,402,16,20000000,0.05
SD028200A80,S RES 1/16W 20 +-5% 0402,1,402,16,20,0.05
SD028220080,S RES 1/16W 220 +-5% 0402,1,402,16,220,0.05
SD028220380,S RES 1/16W 220K +-5% 0402,1,402,16,220000,0.05
SD028300280,S RES 1/16W 30K +-5% 0402,1,402,16,30000,0.05
SD028470180,S RES 1/16W 4.7K +-5% 0402,1,402,16,4700,0.05
SD028470B80,S RES 1/16W 4.7 +-5% 0402,1,402,16,4.7,0.05
SD028510A80,S RES 1/16W 51 +-5% 0402,1,402,16,51,0.05
SD028820180,S RES 1/16W 8.2K +-5% 0402,1,402,16,8200,0.05
SD034100080,S RES 1/16W 100 +-1% 0402,1,402,16,100,0.01
SD034100180,S RES 1/16W 1K +-1% 0402,1,402,16,1000,0.01
SD034100280,S RES 1/16W 10K +-1% 0402,1,402,16,10000,0.01
SD034100380,S RES 1/16W 100K +-1% 0402,1,402,16,100000,0.01
SD034100480,S RES 1/16W 1M +-1% 0402,1,402,16,1000000,0.01
SD034100A80,S RES 1/16W 10 +-1% 0402,1,402,16,10,0.01
SD034113280,S RES 1/16W 11.3K +-1% 0402,1,402,16,11300,0.01
SD034120280,S RES 1/16W 12K +-1% 0402,1,402,16,12000,0.01
SD034121090,S RES 1/16W 121 +-1% 0402,1,402,16,121,0.01
SD034124380,S RES 1/16W 124K +-1% 0402,1,402,16,124,0.01
SD034127280,S RES 1/16W 12.7K +-1% 0402,1,402,16,12700,0.01
SD034130180,S RES 1/16W 1.3K +-1% 0402,1,402,16,1300,0.01
SD034137180,S RES 1/16W 1.37K +-1% 0402,1,402,16,1370,0.01
SD034140080,S RES 1/16W 140 +-1% 0402,1,402,16,140,0.01
SD034140380,S RES 1/16W 140K +-1% 0402,1,402,16,140000,0.01
SD034147280,S RES 1/16W 14.7K +-1% 0402,1,402,16,4700,0.01
SD034150080,S RES 1/16W 150 +-1% 0402,1,402,16,150,0.01
SD034150180,S RES 1/16W 1.5K +-1% 0402,1,402,16,1500,0.01
SD034150380,S RES 1/16W 150K +-1% 0402,1,402,16,150000,0.01
SD034150A80,S RES 1/16W 15 +-1% 0402,1,402,16,15,0.01
SD034154180,S RES 1/16W 1.54K +-1% 0402,1,402,16,1540,0.01
SD034165180,S RES 1/16W 1.65K +-1% 0402,1,402,16,1650,0.01
SD034200080,S RES 1/16W 200 +-1% 0402,1,402,16,200,0.01
SD034200280,S RES 1/16W 20K +-1% 0402,1,402,16,20000,0.01
SD034200380,S RES 1/16W 200K +-1% 0402,1,402,16,200000,0.01
SD034200480,S RES 1/16W 2M +-1% 0402,1,402,16,2000000,0.01
SD034200A80,S RES 1/16W 20 +-1% 0402,1,402,16,20,0.01
SD034205280,S RES 1/16W 20.5K +-1% 0402,1,402,16,20500,0.01
SD034215280,S RES 1/16W 21.5K +-1% 0402,1,402,16,21500,0.01
SD034300280,S RES 1/16W 30K +-1% 0402,1,402,16,30000,0.01
SD034316280,S RES 1/16W 31.6K +-1% 0402,1,402,16,31600,0.01
SD034475180,S RES 1/16W 4.75K +-1% 0402,1,402,16,4750,0.01
SD034511280,S RES 1/16W 51.1K +-1% 0402,1,402,16,51100,0.01
SD034560280,S RES 1/16W 56K +-1% 0402,1,402,16,56000,0.01
SD034715280,S RES 1/16W 71.5K +-1% 0402,1,402,16,71500,0.01
SD043100180,S RES 1/20W 1K +-5% 0201,1,201,20,1000,0.05
SD043100280,S RES 1/20W 10K +-5% 0201,1,201,20,10000,0.05
SD043100380,S RES 1/20W 100K +-5% 0201,1,201,20,100000,0.05
SD043220380,S RES 1/20W 220K +-5% 0201,1,201,20,220000,0.05
SD300001P00,S ROW RES 1/16W 15 +-5% 8P4R 0804,1,804,16,15,0.05
SD309100180,S ROW RES 1/16W 1K +-5% 8P4R 0804,1,804,16,1000,0.05
SD309100280,S ROW RES 1/16W 10K +-5% 8P4R 0804,1,804,16,10000,0.05
SD309100380,S ROW RES 1/16W 100K +-5% 8P4R 0804,1,804,16,100000,0.05
SD309100A80,S ROW RES 1/16W 10 +-5% 8P4R 0804,1,804,16,10,0.05
